code,name,industry,archetype,holder_chg,n,win_rate,avg_ret,avg_dd,calmar,score,avg_vol_r20,avg_amt_r20,avg_price60,avg_dif_val,macd_combo,holding_days
300926,博俊科技,汽车,成长兑现型,0.0833500803858521,2,1.0,0.0701237555877262,0.0001866360768431538,14.02475111754524,14.02475111754524,2.297181637055835,2.271364879716185,0.4564950482700007,-3.0664070584868615,S,15
603721,*ST天择,未知,周期/事件驱动型,0.0,2,0.5,0.12267457145072239,0.000709474396294596,24.534914290144478,12.267457145072239,1.9493358816906787,1.8401107891624284,0.5290782300962764,-1.45994252548269,S,15
605398,新炬网络,计算机,周期/事件驱动型,-0.14704763354131792,2,1.0,0.08091411929465905,-0.012908859207770827,6.268107660973688,6.268107660973688,2.7056669170395673,2.7195723051391436,0.5822637204442358,-1.302934887899081,S,15
688095,福昕软件,计算机,周期/事件驱动型,0.40232933579335795,2,1.0,0.25199062791473453,0.042485921244178056,5.931156028522399,5.931156028522399,1.7788719285352794,1.6860226050450549,0.5684441878638189,-4.884998018117763,S,15
300366,ST创意,未知,周期/事件驱动型,-0.2699873503584065,2,1.0,0.0936157229631902,-0.019660768490956,4.7615495297782315,4.7615495297782315,2.4549411160715287,2.343173433572387,0.5672486450371577,-0.8422708265916357,S,15
300795,米奥会展,社会服务,周期/事件驱动型,0.03907252888318357,2,1.0,0.13367570019489916,0.02999609115139995,4.456437324456536,4.456437324456536,1.726447552297369,1.6100692682185183,0.40196923589733835,-9.275016457187284,S,15
688311,盟升电子,国防军工,周期/事件驱动型,0.34006805614632074,2,1.0,0.15081738273129197,0.03552022609105657,4.245957847922185,4.245957847922185,2.0728913193254925,1.88544187526993,0.5062081200552033,-4.295947447227476,S,15
605377,华旺科技,轻工制造,高质量稳健型,-0.07272498900960875,2,0.5,0.061874652924717784,-0.007995420068190914,7.738761990865337,3.8693809954326683,2.746690675446053,2.7469610233667767,0.5467866993439501,-0.257436540276748,S,15
603881,数据港,通信,周期/事件驱动型,0.0,2,1.0,0.05745132754004285,0.016340060950088494,3.515980002493914,3.515980002493914,1.77122166211581,1.7306724741998638,0.5070870765072748,-2.7779205338448776,S,15
688133,泰坦科技,基础化工,周期/事件驱动型,0.1136339180027978,2,1.0,0.054071464142670916,0.02140581240495296,2.526017845982788,2.526017845982788,1.6426003264702125,1.6102146790910454,0.4095752275763357,-4.449650130462061,S,15
